Username,Date,Content,Likes,Retweets
@lauraawrr,"3:28 PM · Jul 11, 2020","a true king 
 he will come back stronger with the strongest support of gen z babies ! #GE2020SG",2.0,5 s
@lauraawrr,"3:22 PM · Jul 11, 2020",hypebeast ah gong’s speech to his fellow online friends! see you in 5 years time ah gong. we love and support you!! #GE2020SG #SingaporeElection #GenZ,54.0,92 s
"ShankarI
@shankari86","3:22 PM · Jul 11, 2020","SENGKANG!
When i was watching the sample count..
My reaction..ADENGAPPA ITHU NAAMA LIST LA YEY ILAYA!
Balls of steels
@Kichukii
 
#GE2020SG",0.0,2 s
"csatree
@Cao86Shawn","3:19 PM · Jul 11, 2020","A cat steals the show at Polling night. #GE2020SG 
@Pat2Young",0.0,0
"mrbrown
@mrbrown","2:59 PM · Jul 11, 2020","My years of playing RISK after exams tells me that this is the next place to conquer. #sgelections #ge2020 #ge2020sg

(Infographic by CNA. Scribbles by me.)",84.0,295 s
"Dinesh Subramaniam
@scorpdin","1:32 PM · Jul 11, 2020","Spotted in the skies this morning...the morning after #GE2020SG
Remember: Just because you don’t love / support a party doesn’t mean you don’t love Singapore.",2.0,5 s
"Kelvin Wong, CFTe
@KelvinSCWong","1:29 PM · Jul 11, 2020",#GE2020SG report card. Incumbent PAP won the 18th Singapore General Election but % of popular votes declined significantly. Current policies may need to have a hard rework & rethink.,4.0,12 s
"Karen M. Fu
@karen_fu","1:27 PM · Jul 11, 2020","Dr Tan Cheng Bock's thoughts for #GE2020SG. Nice one to read. They do need more younger people to join their party. At least he is positive of the outcome. #singapore 
https://facebook.com/1351562345/posts/10217981412310848/…",0.0,0
"MCPS ☭
@mcommunistparty","1:27 PM · Jul 11, 2020",we will work together in 2025 to clamp down on the wealth gaps #socialistsingapore #GE2020SG,0.0,0
"Bhaswati Guha
@Bhaswati19Guha","1:26 PM · Jul 11, 2020","Singapore GE2020: PAP Gets Supermajority but Social Media Popularity Helps WP Win 10 Seats

#SingaporeElection #Election2020
#PAPSingapore
#GE2020SG
@sgelection",0.0,0
"Kathleen Reen
@kathleenreen","1:17 PM · Jul 11, 2020",Singapore is the latest country to host an election in the era of #COVID__19. Here’s what we saw during a day of presumption and surprise     #GE2020SG #SGvotes,3.0,20 s
"bakkwabeelee
@muipo1","1:16 PM · Jul 11, 2020","Well done, well fought, and certainly well received!!
Congratulations Workers Party. 
A salute to the people of Sengkang!
Teruskan Perjuangan!!
#GE2020SG #ge2020",0.0,1
"Amit Jain
@Amit_Jain_World","1:12 PM · Jul 11, 2020",#Singapore inches towards a two party #democracy #GE2020SG #ge2020,0.0,2 s
"Qaizher
@Qaizher","1:11 PM · Jul 11, 2020",Why do I have this massive headache after my sleep? Oh yes the thought of living under a government you didn't choose does that to you even when you're resting. Another 5 years here we go. God help us all #GE2020SG #GE2020,0.0,0
"Justin
@JustinOngS","12:51 PM · Jul 11, 2020",Sound early insights from #ge2020sg. Thread.,0.0,0
"bittymacbeth
@bittymacbeth","12:51 PM · Jul 11, 2020","https://elections.viz.sg had quite a bit of fun using this to compare how singapore voted across the country this #GE2020SG and over the past few #sgelections! here's the comparison for my GRC, marine parade.",0.0,1
"christine lim
@monkeyinair","12:51 PM · Jul 11, 2020",Y’all stop making fun of Seng Kang LRT hor #GE2020SG,0.0,0
"IZ Reloaded
@izreloaded","12:47 PM · Jul 11, 2020","The growing beating heart of Singapore! So much love to the people of Hougang, Aljunied and Sengkang!!! #sgvotes #sgelections #GE2020SG",0.0,1
"piece of cardboard
@52hz48m","12:47 PM · Jul 11, 2020",#GE2020SG,0.0,0
"prá$hy
@prxshxn_","12:45 PM · Jul 11, 2020","never been so proud to be a part of sengkang GRC!!! 
 warms the cockles of my heart 
#GE2020SG",0.0,26 s
"Edward C. Yong ن
@infernoxv","12:45 PM · Jul 11, 2020","someone suggested KJ and RP join WP to help consolidate the opposition. ummm that wouldn’t push WP up, it’d pull them down. #GE2020SG #ge2020 #sgge2020 #SingaporeElection",0.0,7 s
"Saravanan
@saravanans9","12:43 PM · Jul 11, 2020","The figures do not lie. There is a big shift in momentum; loss of 3 ministers, disappointing performance for the DPM & losing of a new GRC that houses the next generation of #Singapore #GE2020SG #SGElection",2.0,4 s
"Biddy
@illgirltweets","12:24 PM · Jul 11, 2020","The most bewildering win for me. Is it because Liang Eng Hwa is a familiar face? Does he have good ground game? Or is it just because SDP still carries stigma? BIZARRE.

#GE2020SG",0.0,2 s
